iter	Passed	Remaining
0	146	146703
1	147	73679
2	148	49321
3	149	37134
4	149	29821
5	150	24951
6	151	21480
7	152	18878
8	153	16851
9	153	15231
10	154	13904
11	155	12792
12	156	11847
13	156	11034
14	157	10330
15	157	9716
16	158	9176
17	159	8694
18	159	8260
19	160	7869
20	161	7515
21	161	7193
22	162	6900
23	163	6630
24	163	6381
25	164	6151
26	164	5939
27	165	5745
28	166	5563
29	166	5393
30	167	5235
31	168	5087
32	168	4948
33	169	4816
34	170	4692
35	170	4573
36	171	4461
37	172	4371
38	173	4272
39	174	4176
40	174	4085
41	175	3998
42	175	3915
43	176	3835
44	177	3759
45	177	3686
46	178	3615
47	178	3549
48	179	3486
49	180	3427
50	181	3369
51	181	3313
52	182	3259
53	183	3207
54	183	3158
55	184	3110
56	185	3063
57	185	3019
58	186	2977
59	187	2936
60	188	2896
61	188	2856
62	189	2817
63	190	2779
64	190	2742
65	191	2706
66	191	2671
67	192	2637
68	193	2604
69	193	2573
70	194	2542
71	194	2512
72	195	2483
73	196	2454
74	196	2427
75	197	2400
76	198	2374
77	198	2349
78	199	2325
79	200	2301
80	200	2278
81	201	2255
82	201	2230
83	202	2207
84	203	2185
85	203	2164
86	204	2143
87	204	2122
88	205	2103
89	206	2083
90	206	2064
91	207	2046
92	207	2028
93	208	2010
94	209	1993
95	209	1976
96	210	1958
97	211	1943
98	211	1927
99	212	1912
100	213	1898
101	213	1883
102	214	1868
103	215	1854
104	215	1840
105	216	1825
106	217	1811
107	217	1798
108	218	1784
109	218	1771
110	219	1758
111	220	1745
112	220	1732
113	221	1720
114	222	1708
115	222	1696
116	223	1684
117	223	1672
118	224	1661
119	224	1649
120	225	1638
121	226	1627
122	226	1616
123	227	1606
124	228	1596
125	228	1586
126	229	1576
127	230	1566
128	230	1557
129	231	1548
130	232	1539
131	232	1530
132	233	1520
133	233	1511
134	234	1502
135	235	1494
136	235	1486
137	236	1478
138	237	1469
139	237	1461
140	238	1453
141	238	1444
142	239	1435
143	240	1427
144	240	1420
145	241	1414
146	242	1407
147	243	1400
148	244	1393
149	244	1386
150	245	1379
151	245	1372
152	246	1365
153	247	1357
154	247	1350
155	248	1343
156	248	1336
157	249	1330
158	250	1323
159	250	1317
160	251	1309
161	251	1303
162	252	1297
163	253	1290
164	253	1284
165	254	1278
166	254	1271
167	255	1266
168	256	1260
169	257	1255
170	258	1250
171	258	1245
172	259	1240
173	260	1234
174	260	1228
175	261	1223
176	261	1218
177	262	1212
178	263	1207
179	263	1201
180	264	1196
181	265	1191
182	265	1186
183	266	1181
184	266	1175
